斗鱼直播综合一线,#genre#
军旅历史古装喜剧动作,http://epg.112114.xyz/douyu/7796193
华语经典电影沈腾周星驰,http://epg.112114.xyz/douyu/4258555
星爷华语成龙电影神乐,http://epg.112114.xyz/douyu/122402
悬疑都市猎奇传说、恐怖故事,http://epg.112114.xyz/douyu/2337939
庆帝云淡风轻正闲处，鲜衣怒马少年时,http://epg.112114.xyz/douyu/7489563
《游钓中国第八季》第八季同步更新中,http://epg.112114.xyz/douyu/791411
漫威漫威主线剧情最佳观影顺序,http://epg.112114.xyz/douyu/6140589
龙门天山勾地火，宝塔镇蛇妖,http://epg.112114.xyz/douyu/9650860
青铜椁大道龙行自有真,飘忽隐现是龙身,http://epg.112114.xyz/douyu/9292503
聊聊武侠与江湖,http://epg.112114.xyz/douyu/8986636
苏大强小日子里的爱恨情仇,http://epg.112114.xyz/douyu/9435180
蓝翔弹幕天团、下饭神剧[请勿刷屏],http://epg.112114.xyz/douyu/276200
喜剧经典喜剧专场,http://epg.112114.xyz/douyu/9650887
刘德华庆祝华仔出道40周年,http://epg.112114.xyz/douyu/2516864
豆瓣高分史上最佳影片大放送,http://epg.112114.xyz/douyu/8770422
陪看栗子回来啦~,http://epg.112114.xyz/douyu/7254536Liz
拳叔那些经典的动漫,http://epg.112114.xyz/douyu/9484105
红雷经典电视剧精讲,http://epg.112114.xyz/douyu/9650131
你好.我叫牛奶,http://epg.112114.xyz/douyu/7494871
很高兴认识你,http://epg.112114.xyz/douyu/7305938
黄金双倍✨Aalizzwell,http://epg.112114.xyz/douyu/6079455
️恐怖/经典/搞笑陪你一起,http://epg.112114.xyz/douyu/74374
贝爷MAX厅✨科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
雍正康熙帝王故事连连看,http://epg.112114.xyz/douyu/4808115
经典科幻动作灾难巨兽,http://epg.112114.xyz/douyu/252802
林正英僵尸女鬼弹幕护体,http://epg.112114.xyz/douyu/218859
康熙张国立在线扫H除恶,http://epg.112114.xyz/douyu/7550220
悬疑午夜惊悚乐园，点上关注带你探险！,http://epg.112114.xyz/douyu/9075333
史剧解说洪武年间大案,http://epg.112114.xyz/douyu/297689
令狐冲什么是江湖,http://epg.112114.xyz/douyu/9653063
港片破案~~,http://epg.112114.xyz/douyu/6733135
金庸宇宙江湖恩江湖了,http://epg.112114.xyz/douyu/10240518
霍格沃茨伟大引起嫉妒，嫉妒导致怨毒,http://epg.112114.xyz/douyu/8814650
长工带你一起来追剧,http://epg.112114.xyz/douyu/8869614
雍正人无伤虎意,虎有吃人心,http://epg.112114.xyz/douyu/9650836
短剧高能反转，悬疑、离奇短剧不停,http://epg.112114.xyz/douyu/10240505
荒野求生纪录片小天地,http://epg.112114.xyz/douyu/9661369
今天是6月25号,来看黑包包,http://epg.112114.xyz/douyu/6497736
周扒片深度解说,http://epg.112114.xyz/douyu/6434857
刘哔讲电影，东北话解说嘎嘎强,http://epg.112114.xyz/douyu/2632223
宇宙的尽头是什么？,http://epg.112114.xyz/douyu/9456028
最新奇幻电影解说-宇宙无敌韩三金,http://epg.112114.xyz/douyu/3194372
圆子,http://epg.112114.xyz/douyu/6566658
老王经典电影看不停,http://epg.112114.xyz/douyu/9687733
宇哥极限惊悚，无限反转,http://epg.112114.xyz/douyu/8651489
长片短解，精彩的电影都有,http://epg.112114.xyz/douyu/9410946
凌儿️港剧️破案️怀旧,http://epg.112114.xyz/douyu/1377142
音贼重的解说直播间,http://epg.112114.xyz/douyu/9734098
星君带你看大片,http://epg.112114.xyz/douyu/8014467
电影欧美科幻经典,http://epg.112114.xyz/douyu/20415
番号入万军丛中，取上将头颅,http://epg.112114.xyz/douyu/8157860
德善所谓胡同就是，用时间来造就朋友,http://epg.112114.xyz/douyu/8600645
逃出监狱兄弟情，是真的,http://epg.112114.xyz/douyu/7575350
屠龙凛冬将至，夜王之争,http://epg.112114.xyz/douyu/8945323
️丧尸鬼片恐怖惊悚电影,http://epg.112114.xyz/douyu/96577
胡一菲,http://epg.112114.xyz/douyu/2838296
樊胜美天下无不散宴席,除了你自己,http://epg.112114.xyz/douyu/3756989
小片片国产经典剧集专属直播间,http://epg.112114.xyz/douyu/10011547
来呀官人，都是你的梦,http://epg.112114.xyz/douyu/9986305
西游由爱故生怨，怨恨交缠，那又何苦,http://epg.112114.xyz/douyu/9518204
美剧解说精彩不断,http://epg.112114.xyz/douyu/9643264
机智帅气的一炫君的直播间,http://epg.112114.xyz/douyu/3705472
大秦秦人不暇自哀，而后人哀之,http://epg.112114.xyz/douyu/1584198
美食舌尖上的火锅，美食不可辜负,http://epg.112114.xyz/douyu/9650849
宋江梁园虽好,不是久恋之家,http://epg.112114.xyz/douyu/3758762
小鸽陪看华语热门影视剧,http://epg.112114.xyz/douyu/3928
吐槽烂片的克星，老邪入驻啦,http://epg.112114.xyz/douyu/9222870
变种人除掉任何阻碍我们的人,http://epg.112114.xyz/douyu/9651304
新人花卷豆瓣高评分电影,http://epg.112114.xyz/douyu/52787
恐怖经典恐怖鬼怪剧场,http://epg.112114.xyz/douyu/1165374
悬疑古今中外犯罪录,http://epg.112114.xyz/douyu/9171887
刘德华24小时看不停,http://epg.112114.xyz/douyu/8985415
步惊云金鳞岂是池中物，一遇风云便化龙,http://epg.112114.xyz/douyu/9290755
隋唐与君共饮盏中酒，几人哀伤几人愁,http://epg.112114.xyz/douyu/7552568
火线电视剧版厨戏痞，正在放映,http://epg.112114.xyz/douyu/9176009
影迷成就福利,http://epg.112114.xyz/douyu/3637726
深夜恐怖影厅来了,http://epg.112114.xyz/douyu/3637726
热血澎湃的动作电影,http://epg.112114.xyz/douyu/3637765
步惊云金鳞岂是池中物，一遇风云便化龙,http://epg.112114.xyz/douyu/9290755
火线电视剧版厨戏痞，正在放映,http://epg.112114.xyz/douyu/9176009
隋唐与君共饮盏中酒，几人哀伤几人愁,http://epg.112114.xyz/douyu/7552568
source,http://epg.112114.xyz/douyu/9650783
饭店我们把装蒜当美学来修炼的,http://epg.112114.xyz/douyu/9650782
漫威、科幻作品逐帧解析,http://epg.112114.xyz/douyu/10494168
刘老师每天爆笑解说不断,http://epg.112114.xyz/douyu/8317926
钱债易还,情债难偿!,http://epg.112114.xyz/douyu/8595134
曾小贤,http://epg.112114.xyz/douyu/6863367
吕不韦智可以微谋,仁可以托财,http://epg.112114.xyz/douyu/8366759
来看一只熊解说电影,http://epg.112114.xyz/douyu/9386057
迷小雅最新最热门美剧解说~,http://epg.112114.xyz/douyu/10240488
说笑武林的直播间,http://epg.112114.xyz/douyu/10329706
二炮养条狗，不防鬼子防贼九,http://epg.112114.xyz/douyu/9522194
胡一菲⭐：曾小贤？,http://epg.112114.xyz/douyu/9586235
杭州❤六月的每一天都元气满满！,http://epg.112114.xyz/douyu/4396972
下次直播再见，搞笑解说就看文西与阿漆,http://epg.112114.xyz/douyu/8737695
刑侦饿不饿，要不要下一碗面吃呀,http://epg.112114.xyz/douyu/138959
鉴证刑侦破案，线索追凶,http://epg.112114.xyz/douyu/8323493
大蓝雀最新神剧爆笑解说,http://epg.112114.xyz/douyu/8656759
贰哥带你看电影,http://epg.112114.xyz/douyu/9338867
看电影了没深度讲解电影,http://epg.112114.xyz/douyu/9562616
好像视说故事电影推荐,http://epg.112114.xyz/douyu/8891883
蓝光女团Kpop女团点播直播间,http://epg.112114.xyz/douyu/329667
狄仁杰：想听听我的故事吗,http://epg.112114.xyz/douyu/674441
瑶瑶童年阴影,http://epg.112114.xyz/douyu/2935323
香港赌片喜剧、黑帮、动作、武侠、经典,http://epg.112114.xyz/douyu/315457
邵氏影院经典武侠,http://epg.112114.xyz/douyu/4246519
邦德再帮我一个忙，让我消失,http://epg.112114.xyz/douyu/9292499
笑场喜剧电影专场,http://epg.112114.xyz/douyu/9292492
电影解说人,http://epg.112114.xyz/douyu/9431125
平凡的世界，平凡的人,http://epg.112114.xyz/douyu/10240495
5万开局国战来了,http://epg.112114.xyz/douyu/10601776
贝爷影厅欧美,http://epg.112114.xyz/douyu/36337
RM-点播点播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/131977
大汉天子,http://epg.112114.xyz/douyu/7133423
济公/聊斋的故事,http://epg.112114.xyz/douyu/10475459
RM-轮播轮播！模式-24H欢乐不断,http://epg.112114.xyz/douyu/7298973
恐怖电影鬼片,http://epg.112114.xyz/douyu/310926
周杰伦MV音乐演唱会高清电影视频,http://epg.112114.xyz/douyu/7537296
老白和小粉化学攻击最为致命,http://epg.112114.xyz/douyu/755832
俗哥看电影的直播间,http://epg.112114.xyz/douyu/2161818
贾队长~原版独播、,http://epg.112114.xyz/douyu/6778282
话事人粤语周星驰林正英,http://epg.112114.xyz/douyu/5033502
网红赤焰男孩来了！都是热知识,http://epg.112114.xyz/douyu/9835644
元芳到底看不看,http://epg.112114.xyz/douyu/6027991
悍匪技术学院,http://epg.112114.xyz/douyu/922564
芳芳说故事每日更新,http://epg.112114.xyz/douyu/9401905
蓝翔经典电视剧,http://epg.112114.xyz/douyu/7459925
〖師落〗大秦男儿,http://epg.112114.xyz/douyu/6582435
米娅陪看60帧喜剧科幻电影真人互动,http://epg.112114.xyz/douyu/6537888
鼎香楼的故事,http://epg.112114.xyz/douyu/299854
襄阳九子夺嫡国强四阿哥,http://epg.112114.xyz/douyu/4944033
动漫超燃,http://epg.112114.xyz/douyu/1174353
神探童年阴影包拯,http://epg.112114.xyz/douyu/7784862
果条偶尔陪看,http://epg.112114.xyz/douyu/6785471
4K西方魔幻手游。顶尖画质,http://epg.112114.xyz/douyu/9978431
斗鱼音乐MV频道,http://epg.112114.xyz/douyu/3186217
恐怖电影,http://epg.112114.xyz/douyu/9275635
粤语电影吴孟达,http://epg.112114.xyz/douyu/1226741
正常开播，欢迎欢迎,http://epg.112114.xyz/douyu/319576
❤小饼❤蓝光,http://epg.112114.xyz/douyu/7701735
话多主播，聊天直播间,http://epg.112114.xyz/douyu/8861179
搜集世界上悉奇的案件和恐怖故事,http://epg.112114.xyz/douyu/9401473
周末狂欢剧场,http://epg.112114.xyz/douyu/7476264
三国直播间,http://epg.112114.xyz/douyu/6546908
✨动漫✨热血,http://epg.112114.xyz/douyu/206858
快进贱丶许一三多,http://epg.112114.xyz/douyu/7517784
海绵与大星直播间,http://epg.112114.xyz/douyu/2250349
鬼兄奇谈午夜故事，提神醒脑，清清凉凉,http://epg.112114.xyz/douyu/8722254
搞笑下饭神剧,http://epg.112114.xyz/douyu/5422706
速看深度解读各种冷门佳作！,http://epg.112114.xyz/douyu/8850682
也想变宠爱～,http://epg.112114.xyz/douyu/10888238
表妹国产青春,http://epg.112114.xyz/douyu/5423
经典美剧解说，悬疑科幻惊悚,http://epg.112114.xyz/douyu/9123570
女汉子还是女神，看看她讲的电影就知道了,http://epg.112114.xyz/douyu/9395966
腰子and伦巴,http://epg.112114.xyz/douyu/6899895
各种美剧、连续剧全集解说,http://epg.112114.xyz/douyu/1979257
绅士日常,http://epg.112114.xyz/douyu/8759139
四大经典/水浒系列,http://epg.112114.xyz/douyu/9487003
神剧燕双鹰狄仁杰,http://epg.112114.xyz/douyu/5875025
经典武侠时代的记忆！,http://epg.112114.xyz/douyu/9649701
倍速播放快乐会加倍！,http://epg.112114.xyz/douyu/4105989
刘华强你这呱保熟吗,http://epg.112114.xyz/douyu/2726977
金庸武侠、古装神剧,http://epg.112114.xyz/douyu/338759
漫威与DC，精彩有声漫画,http://epg.112114.xyz/douyu/1952680
悬疑,http://epg.112114.xyz/douyu/5581257
范闲、王启年、陈萍萍~,http://epg.112114.xyz/douyu/5908256
燃爆全网的动作大片都在这里！！！！！！！,http://epg.112114.xyz/douyu/9614847
经典巨制欧美大片,http://epg.112114.xyz/douyu/2793084
✨十三香✨经典,http://epg.112114.xyz/douyu/4870914
有温度的篮球厂牌,http://epg.112114.xyz/douyu/9367541
松轩速看大片，体味人生,http://epg.112114.xyz/douyu/1524969
一个只讲恐怖电影的电影解说,http://epg.112114.xyz/douyu/8415464
奥雷带你看遍奇葩老电影,http://epg.112114.xyz/douyu/1224356
带你看没时间看的经典电影,http://epg.112114.xyz/douyu/9375743
带你体验宇宙时空之旅,http://epg.112114.xyz/douyu/9439712
老刘带你看大片,http://epg.112114.xyz/douyu/3985805
综艺搞笑影视综艺解说时间到了！,http://epg.112114.xyz/douyu/8657920
谁语Whospeak精彩电影解说,http://epg.112114.xyz/douyu/8705754
胥渡吧经典搞笑,http://epg.112114.xyz/douyu/2040822
全程高能，爆笑如雷,http://epg.112114.xyz/douyu/9638983
史君观影国产刑侦电视剧太精彩了,http://epg.112114.xyz/douyu/9644669
清汤寡水之情景喜剧,http://epg.112114.xyz/douyu/3980787
最好看的搞笑篮球动漫,http://epg.112114.xyz/douyu/9401305
超清3人气港剧天地,http://epg.112114.xyz/douyu/5261342
看遍世界各地的纪录片,http://epg.112114.xyz/douyu/8834003
悬疑烧脑影视大合集！,http://epg.112114.xyz/douyu/5354713
我只担心一件事，我怕我配不上所受的苦难,http://epg.112114.xyz/douyu/8344251
卡面来打♥,http://epg.112114.xyz/douyu/1218414
经典悬疑烧脑剧解说你值得拥有,http://epg.112114.xyz/douyu/8790357
新鲜影剧解说，好看的电影、电视剧都在我这,http://epg.112114.xyz/douyu/421222
二次元fans鹿鹿~鹿鹿陪你看动漫！,http://epg.112114.xyz/douyu/8661526
阿木解读高分经典电影,http://epg.112114.xyz/douyu/532050
鲨说电影的直播间,http://epg.112114.xyz/douyu/9544628
指缝君看大片,http://epg.112114.xyz/douyu/9647834
祝晓晗的直播间,http://epg.112114.xyz/douyu/9575293
经典搞笑电视剧轮播♥高清,http://epg.112114.xyz/douyu/5429211
指缝君看大片,http://epg.112114.xyz/douyu/9647834
祝晓晗的直播间,http://epg.112114.xyz/douyu/9575293
经典搞笑电视剧轮播,http://epg.112114.xyz/douyu/5429211
趣生活UP主最新视频合集,http://epg.112114.xyz/douyu/10074407
短剧高能反转，悬疑、离奇短剧不停,http://epg.112114.xyz/douyu/10240505
枪战枪神在此，无敌,http://epg.112114.xyz/douyu/10240510
金庸宇宙江湖恩江湖了,http://epg.112114.xyz/douyu/10240518
趣生活我看诸君皆装ㄨ，料诸君看我应如是,http://epg.112114.xyz/douyu/10489610
恐怖经典恐怖鬼怪刷场,http://epg.112114.xyz/douyu/1165374
黔周星驰黔星爷华语成龙电影神乐,http://epg.112114.xyz/douyu/122402
粤语电影吴孟达达叔周星驰经典27,http://epg.112114.xyz/douyu/1226741
凌儿港剧破案怀利旧,http://epg.112114.xyz/douyu/1377142
爱笑的撸猫主播,http://epg.112114.xyz/douyu/1504768
大秦秦人不暇自哀，而后人哀之,http://epg.112114.xyz/douyu/1584198
心可乐电影欧美科幻经典,http://epg.112114.xyz/douyu/20415
林正英僵尸女鬼弹幕护体,http://epg.112114.xyz/douyu/218859
悬疑都市猎奇传说、恐怖故事,http://epg.112114.xyz/douyu/2337939
刘德华庆祝华仔出道4o周年,http://epg.112114.xyz/douyu/2516864
染贝爷厅经典科幻动作灾难巨兽,http://epg.112114.xyz/douyu/252802
懒猫美食家点播,http://epg.112114.xyz/douyu/260322
刘哔讲电影，东北话解说嘎嘎强,http://epg.112114.xyz/douyu/2632223
奶虫~恐怖丧尸鬼片灾难科幻,http://epg.112114.xyz/douyu/263824
牛叔N分钟带你看完大片,http://epg.112114.xyz/douyu/2758565
蓝翔弹幕天团、下饭神剧请勿刷屏],http://epg.112114.xyz/douyu/276200
歌曾小贤胡一菲第三季第一季染,http://epg.112114.xyz/douyu/2838296
史剧解说洪武年间大案,http://epg.112114.xyz/douyu/297689
鼎香楼的故事,http://epg.112114.xyz/douyu/299854
朱棣笑天下可笑之人,http://epg.112114.xyz/douyu/308752
最新奇幻电影解说-宇宙无敌韩三金,http://epg.112114.xyz/douyu/3194372
小宇尬舞,http://epg.112114.xyz/douyu/323876
杀死燕双鹰，活捉狄仁本！,http://epg.112114.xyz/douyu/3439096
科幻Fas精彩科幻层视，解说连连看,http://epg.112114.xyz/douyu/3508304
恐怖厅胆小勿入,http://epg.112114.xyz/douyu/3637726
热血澎的动作电影,http://epg.112114.xyz/douyu/3637765
机智帅气的一炫君的直播间,http://epg.112114.xyz/douyu/3705472
樊胜美天下无不散宴席，除了你自己,http://epg.112114.xyz/douyu/3756989
宋江梁园虽好，不是久恋之家,http://epg.112114.xyz/douyu/3758762
小鸽陪看华语热门视剧,http://epg.112114.xyz/douyu/3928
清汤寡水之情景喜剧,http://epg.112114.xyz/douyu/3980787
片片片荒的时候看片片,http://epg.112114.xyz/douyu/4258555
超级粉丝团分区冠军,http://epg.112114.xyz/douyu/431460
贝爷MX厅黔科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
怡密9今天2倍亲密度哟,http://epg.112114.xyz/douyu/434971
傲娇的超级赛亚人的直播间,http://epg.112114.xyz/douyu/4373285
雍正康熙帝王故事连连看,http://epg.112114.xyz/douyu/4808115
弹幕互动游戏三国群雄领土纷争,http://epg.112114.xyz/douyu/5062195
新人花卷豆辨高评分电影,http://epg.112114.xyz/douyu/52787
黄金双倍染,http://epg.112114.xyz/douyu/6079455
扑朔迷离的案件里隐藏着什么,http://epg.112114.xyz/douyu/610972
漫威漫威主线剧情最佳观是顺序,http://epg.112114.xyz/douyu/6140589
周扒片深度解说,http://epg.112114.xyz/douyu/6434857
少年包青天,http://epg.112114.xyz/douyu/6497736
少年包青天,http://epg.112114.xyz/douyu/6566658
家有儿女,http://epg.112114.xyz/douyu/6648727
港片破案,http://epg.112114.xyz/douyu/6733135
Liz陪看栗子,http://epg.112114.xyz/douyu/7254536
反手一个好家伙,http://epg.112114.xyz/douyu/7270927
很高兴认识,http://epg.112114.xyz/douyu/7305938
冰冰恐怖经典搞笑陪你一起,http://epg.112114.xyz/douyu/74374
蓝翔经典电视剧,http://epg.112114.xyz/douyu/7459925
女神金今天双倍亲密度,http://epg.112114.xyz/douyu/747764
庆帝云淡风轻正闲处，鲜衣怒马少年时,http://epg.112114.xyz/douyu/7489563
你好,http://epg.112114.xyz/douyu/7494871
染染染龄蟹蟹我快好啦染染耸,http://epg.112114.xyz/douyu/7528160
康熙张国立在线,http://epg.112114.xyz/douyu/7550220
逃出监狱兄弟情,http://epg.112114.xyz/douyu/7575350
奶流9金庯武侠剧,http://epg.112114.xyz/douyu/7644931
经典战争电影,http://epg.112114.xyz/douyu/7796193
星君带你看大片,http://epg.112114.xyz/douyu/8014467
入军丛中，取上将头颅,http://epg.112114.xyz/douyu/8157860
乔丹传奇故事,http://epg.112114.xyz/douyu/8434598
经典电影沈腾周星驰,http://epg.112114.xyz/douyu/85894
德善所渭胡同,http://epg.112114.xyz/douyu/8600645
宇哥极限惊悚，无限反转,http://epg.112114.xyz/douyu/8651489
豆高分史上最佳片大放送,http://epg.112114.xyz/douyu/8770422
霍格沃茨伟大引起嫉妒，嫉妒导致怨毒,http://epg.112114.xyz/douyu/8814650
长工带你一起来追剧,http://epg.112114.xyz/douyu/8869614
虫哥魔性吐槽童年回忆,http://epg.112114.xyz/douyu/8915074
屠龙凛冬将至，夜王之争,http://epg.112114.xyz/douyu/8945323
已更新！聊聊武侠与江湖,http://epg.112114.xyz/douyu/8986636
开心锤锤，开心快乐每一天,http://epg.112114.xyz/douyu/9018297
走进"柯“学，西瓜讲柯南的案件,http://epg.112114.xyz/douyu/9065082
悬疑午夜惊悚乐园，点上关注带你探险！,http://epg.112114.xyz/douyu/9075333
悬疑古今中外犯罪录,http://epg.112114.xyz/douyu/9171887
合天宜王大锤到情怀上线,http://epg.112114.xyz/douyu/9220456
吐槽烂片的克星，老邪入驻,http://epg.112114.xyz/douyu/9222870
悍匪技术学院,http://epg.112114.xyz/douyu/922564
吐槽吐槽一下，快乐一,http://epg.112114.xyz/douyu/9236042
步惊云金鳞岂是地中物，一遇风云便化龙,http://epg.112114.xyz/douyu/9290755
青铜椁大道龙行自有真，飘忽隐现是龙身,http://epg.112114.xyz/douyu/9292503
科幻片最专业的科幻片解说,http://epg.112114.xyz/douyu/9338839
长片短解，精彩的电都有,http://epg.112114.xyz/douyu/9410946
史君说剧史君说尽天下好剧,http://epg.112114.xyz/douyu/9419771
苏大强小日子里的爱恨情仇,http://epg.112114.xyz/douyu/9435180
洗碗君解说爷青回,http://epg.112114.xyz/douyu/9446706
宇宙的尽头是什么,http://epg.112114.xyz/douyu/9456028
好的恋人能减少一半的人间疾苦,http://epg.112114.xyz/douyu/9461178
贤于葛格最会讲电的贤于来啦,http://epg.112114.xyz/douyu/9461990
西游由爱故生怨，怨恨交缠，那又何苦,http://epg.112114.xyz/douyu/9518204
更新最全斗牌、麻将剧集解说,http://epg.112114.xyz/douyu/9559158
范闲4K超清、下饭神剧,http://epg.112114.xyz/douyu/9633542
最新爽剧解说,http://epg.112114.xyz/douyu/9639225
战斗吧！热血动漫全看,http://epg.112114.xyz/douyu/9641152
美剧解说精彩不断,http://epg.112114.xyz/douyu/9643264
经典武侠解说,http://epg.112114.xyz/douyu/9649681
红雷经典电视剧精讲,http://epg.112114.xyz/douyu/9650131
雍正人无伤虎意，虎有吃人心,http://epg.112114.xyz/douyu/9650836
美食舌尖上的火锅，美食不可辜负,http://epg.112114.xyz/douyu/9650849
龙门天山勾地火，宝塔镇蛇妖,http://epg.112114.xyz/douyu/9650860
喜剧经典喜剧专场,http://epg.112114.xyz/douyu/9650887
变种人除掉任何阻碍我们的人,http://epg.112114.xyz/douyu/9651304
令狐冲什么是江湖,http://epg.112114.xyz/douyu/9653063
丧尸鬼片恐怖惊悚电,http://epg.112114.xyz/douyu/96577
雍正、杨贵妃剧集精讲,http://epg.112114.xyz/douyu/9660127
荒野求生纪录片小天地,http://epg.112114.xyz/douyu/9661369
老王经典电看不停,http://epg.112114.xyz/douyu/9687733
口音贼重的解说直播间,http://epg.112114.xyz/douyu/9734098
樱木花道灌篮PP动漫精彩解说,http://epg.112114.xyz/douyu/9837291
新主播可以点点关注嘛,http://epg.112114.xyz/douyu/9915531
来呀官人，都是你的梦,http://epg.112114.xyz/douyu/9986305
荒野求生纪录片小天地,http://epg.112114.xyz/douyu/9661369
老王经典电看不停,http://epg.112114.xyz/douyu/9687733
口音贼重的解说直播间,http://epg.112114.xyz/douyu/9734098
樱木花道灌篮PP动漫精彩解说,http://epg.112114.xyz/douyu/9837291
新主播,http://epg.112114.xyz/douyu/9915531
来呀官人，都是你的梦,http://epg.112114.xyz/douyu/9986305
古装一线,#genre#
80后电景院,http://epg.112114.xyz/douyu/10782575
我二弟天下无敌！,http://epg.112114.xyz/douyu/10906963
大秦,http://epg.112114.xyz/douyu/1584198
朱棣笑天下可笑之人,http://epg.112114.xyz/douyu/308752
热血减的动作电影,http://epg.112114.xyz/douyu/3637765
下饭神剧,http://epg.112114.xyz/douyu/3700024
宋江梁园虽好，不是久恋之家,http://epg.112114.xyz/douyu/3758762
军旅 历史 古装 喜剧 动作,http://epg.112114.xyz/douyu/431460
经典视剧,http://epg.112114.xyz/douyu/4744905
超清3人气港剧天地,http://epg.112114.xyz/douyu/5261342
经典搞笑电视剧轮播高清,http://epg.112114.xyz/douyu/5429211
黑包包,http://epg.112114.xyz/douyu/6497736
陆小鸡随机,http://epg.112114.xyz/douyu/6919701
大汉天子,http://epg.112114.xyz/douyu/7133423
庆帝云淡风轻正闲处,http://epg.112114.xyz/douyu/7489563
康熙张国立在线扫除恶,http://epg.112114.xyz/douyu/7550220
